								Icelandic Low	
					2	2004	1.009	328.4526	59.0576
					3	2004	1.008	329.2851	62.6636
					4	2004	1.011	334.7313	61.4574
					5	2004	1.0121	326.3277	59.156
					6	2004	1.0119	322.6009	57.165
					7	2004	1.0098	315.3014	64.8322
					8	2004	1.0111	320.9417	59.1351
					9	2004	1.0079	329.519	63.9673
					10	2004	1.0093	332.419	60.2774
					11	2004	1.0094	325.7166	64.2844
					12	2004	1.003	336.0719	65.0227
					1	2005	1.004	336.0609	64.9546
					2	2005	1.0116	331.7743	66.0459
					3	2005	1.0086	314.8155	48.9465
					4	2005	1.0111	337.4854	60.1665
					5	2005	1.0117	363.8652	64.476
					6	2005	1.0113	304.4817	60.7375
					7	2005	1.0105	306.9082	63.4268
					8	2005	1.0095	321.1085	63.7607
					9	2005	1.0091	331.4755	63.2633
					10	2005	1.0091	334.2367	58.1212
					11	2005	1.0077	324.3972	63.2892
					12	2005	1.009	317.2739	60.8797
					1	2006	1.0062	320.9528	62.4129
					2	2006	1.0094	316.2542	56.1851
					3	2006	1.0087	328.6875	49.7468
					4	2006	1.0097	339.428	64.228
					5	2006	1.0118	321.9379	51.5485
					6	2006	1.0099	313.634	65.4923
					7	2006	1.0095	305.1983	62.3908
					8	2006	1.0108	323.872	59.4275
					9	2006	1.0085	324.6862	60.0832
					10	2006	1.0095	329.5751	54.3784
					11	2006	1.0049	342.7284	62.711
					12	2006	1.0018	327.1466	62.666
					1	2007	1.0033	331.0159	61.8547
					2	2007	1.005	322.973	54.3993
					3	2007	1.0063	331.3387	63.791
					4	2007	1.0098	325.415	57.0113
					5	2007	1.0102	349.5248	59.812
					6	2007	1.0125	320.6007	54.1617
					7	2007	1.0101	323.8183	59.6566
					8	2007	1.0104	315.0038	62.3912
					9	2007	1.0095	326.0362	63.8539
					10	2007	1.0079	323.8687	62.1621
					11	2007	1.0096	328.9346	65.1334
					12	2007	1.0045	326.7162	62.6575
					1	2008	1.0054	332.6508	61.8645
					2	2008	1.006	328.1372	63.8694
					3	2008	1.007	349.8915	59.5056
					4	2008	1.0118	349.8231	51.9359
					5	2008	1.0109	307.4895	48.9403
					6	2008	1.0118	313.886	55.8716
					7	2008	1.0112	308.5399	58.2972
					8	2008	1.0098	327.4906	60.4058
					9	2008	1.0081	312.1976	65.5304
					10	2008	1.0059	338.2859	64.3165
					11	2008	1.0088	345.4363	64.0979
					12	2008	1.0061	318.5767	63.8236
					1	2009	1.0034	326.0209	59.6888
					2	2009	1.0093	327.5348	57.155
					3	2009	1.0082	346.5509	62.1346
					4	2009	1.0103	329.8375	58.6794
					5	2009	1.0097	315.7867	63.3394
					6	2009	1.0123	291.2862	47.5871
					7	2009	1.0109	334.669	55.9906
					8	2009	1.0095	322.0433	60.259
					9	2009	1.0071	327.5183	66.0175
					10	2009	1.0101	328.1926	54.7245
					11	2009	1.0045	339.2497	59.5828
					12	2009	1.0079	333.4699	51.4227
					1	2010	1.0079	316.9743	53.2791
					2	2010	1.005	332.0617	48.5857
					3	2010	1.0105	328.2026	55.578
					4	2010	1.0119	315.9287	50.8247
					5	2010	1.0109	322.7303	49.1427
					6	2010	1.0114	307.9197	55.2661
					7	2010	1.01	314.4493	60.792
					8	2010	1.0105	304.993	59.741
					9	2010	1.0103	312.8142	58.4585
					10	2010	1.0084	319.3983	57.9098
					11	2010	1.0092	336.6813	57.344
					12	2010	1.0102	323.4288	47.3555
					1	2011	1.0089	326.9012	57.8523
					2	2011	1.0022	320.5724	59.8444
					3	2011	1.0078	340.9198	66.1318
					4	2011	1.0058	319.1744	63.4678
					5	2011	1.0108	343.052	59.5922
					6	2011	1.0124	323.0626	53.805
					7	2011	1.0104	307.3569	57.7209
					8	2011	1.0107	308.0408	56.5342
					9	2011	1.0053	327.1077	62.2151
					10	2011	1.008	335.0404	62.3869
					11	2011	1.0045	322.9433	61.4032
					12	2011	0.9997	333.4986	63.9911
					1	2012	1.0065	322.8849	62.7953
					2	2012	1.0078	321.8068	62.8673
					3	2012	1.0076	329.2287	62.4587
					4	2012	1.0095	350.5322	53.3398
					5	2012	1.0129	347.6595	65.4615
					6	2012	1.0114	320.05	55.0574
					7	2012	1.0107	313.0793	60.1368
					8	2012	1.011	315.4132	59.5636
					9	2012	1.0071	328.3459	64.4682
					10	2012	1.0112	340.2433	55.9875
					11	2012	1.0072	339.9768	62.2367
					12	2012	1.007	335.3471	56.2428
					1	2013	1.005	321.4534	59.1252
					2	2013	1.0091	321.3848	55.6248
					3	2013	1.0069	334.9817	46.0687
					4	2013	1.0103	349.2138	62.4395
					5	2013	1.011	356.9555	57.7456
					6	2013	1.011	312.3904	61.6934
					7	2013	1.0099	310.5951	64.0371
					8	2013	1.0085	319.3059	64.2302
					9	2013	1.0095	315.0606	63.5079
					10	2013	1.0084	329.5823	57.8809
					11	2013	1.0067	334.486	64.1334
					12	2013	1.0013	334.759	62.2765
					1	2014	1.0033	325.0574	58.6247
					2	2014	1.0018	337.4654	59.1782
					3	2014	1.0064	331.0493	62.6771
					4	2014	1.0105	336.2908	59.9246
					5	2014	1.012	328.7246	57.2951
					6	2014	1.0125	287.6847	62.0415
					7	2014	1.0107	305.327	58.8964
					8	2014	1.0108	340.6982	61.9602
					9	2014	1.0078	312.0845	64.6382
					10	2014	1.0087	328.3818	58.6928
					11	2014	1.0068	322.9367	57.8862
					12	2014	1.0042	339.0833	65.2387
					1	2015	1.0028	333.4465	63.7475
					2	2015	1.006	335.2615	63.2764
					3	2015	1.0044	322.3824	63.4461
					4	2015	1.0111	335.1594	63.1073
					5	2015	1.0099	332.7585	63.2004
					6	2015	1.0117	315.2069	61.1391
					7	2015	1.0109	314.7356	56.6888
