						Azores High	
2	2007				1.0193	331.9615	29.0297
3	2007				1.0202	328.2231	34.1921
4	2007				1.0178	333.4084	34.7154
5	2007				1.0196	322.5475	33.6092
6	2007				1.0186	319.9995	30.5763
7	2007				1.0199	320.5623	33.4915
8	2007				1.0188	324.4442	36.2009
9	2007				1.0185	328.8372	37.3983
10	2007				1.0177	333.1843	36.8776
11	2007				1.0182	332.4801	38.4865
12	2007				1.0203	333.7592	33.8008
1	2008				1.0209	333.3040	32.501
2	2008				1.0201	332.2159	33.3128
3	2008				1.0189	322.9702	33.1538
4	2008				1.0169	311.6172	31.8745
5	2008				1.0178	323.3316	29.399
6	2008				1.0188	325.1680	33.2631
7	2008				1.0195	321.1429	34.0023
8	2008				1.0182	324.1955	34.328
9	2008				1.0178	322.6957	37.5949
10	2008				1.0185	329.7112	35.5641
11	2008				1.0186	330.6184	38.3472
12	2008				1.0192	328.3054	34.0901
1	2009				1.0203	326.7666	29.2872
2	2009				1.0187	323.6418	31.3626
3	2009				1.0181	323.5294	36.2185
4	2009				1.02	321.4823	32.3797
5	2009				1.0199	322.7756	34.9932
6	2009				1.018	323.4396	32.3322
7	2009				1.0193	320.7944	33.1327
8	2009				1.0191	321.7297	34.2794
9	2009				1.0188	328.6857	37.0032
10	2009				1.016	330.4713	33.1799
11	2009				1.0185	331.2868	33.0502
12	2009				1.0166	322.8525	26.3104
1	2010				1.017	330.9750	28.3457
2	2010				1.0151	320.9467	22.6248
3	2010				1.0166	334.9555	30.9597
4	2010				1.0161	333.0220	35.2992
5	2010				1.0184	326.2493	33.8051
6	2010				1.0197	324.1303	33.429
7	2010				1.0196	322.9868	34.4491
8	2010				1.0175	325.6804	35.9674
9	2010				1.0173	326.7461	35.8894
10	2010				1.0164	322.0276	31.5882
11	2010				1.0154	326.1143	36.5215
12	2010				1.0149	346.1619	31.671
1	2011				1.0179	334.2341	32.4458
2	2011				1.02	331.5923	30.9755
3	2011				1.0186	328.2940	36.3852
4	2011				1.0185	320.4827	34.467
5	2011				1.0185	326.7247	39.1332
6	2011				1.0183	327.9669	34.8967
7	2011				1.0203	323.2644	34.4012
8	2011				1.0176	323.9641	33.3501
9	2011				1.0178	324.1122	33.6959
10	2011				1.0175	334.1350	35.7862
11	2011				1.0178	327.9231	33.8808
12	2011				1.0216	334.7926	34.3095
1	2012				1.022	335.5066	34.3139
2	2012				1.0223	336.1034	35.6661
3	2012				1.0206	333.2533	35.2159
4	2012				1.0194	324.5863	34.0775
5	2012				1.0178	319.9260	33.781
6	2012				1.018	324.8057	30.283
7	2012				1.0197	323.0275	34.2222
8	2012				1.0181	321.2831	33.1922
9	2012				1.0175	324.1279	37.8851
10	2012				1.0151	320.4908	29.8811
11	2012				1.0173	323.5008	35.4945
12	2012				1.0187	336.6245	31.2272
1	2013				1.0202	332.5206	30.3369
2	2013				1.0188	331.5091	32.3701
3	2013				1.0161	315.5933	24.3125
4	2013				1.0184	315.1954	33.3946
5	2013				1.0209	320.9719	36.8227
6	2013				1.021	324.3652	34.5067
7	2013				1.0193	321.9710	34.3744
8	2013				1.0191	324.5535	36.0814
9	2013				1.0172	329.3461	35.0263
10	2013				1.0173	326.7066	31.522
11	2013				1.0188	330.9251	37.254
12	2013				1.0206	330.9497	32.6225
1	2014				1.0208	324.1586	30.7247
2	2014				1.0205	326.5572	29.7975
3	2014				1.0187	328.5844	32.4796
4	2014				1.0172	317.3743	30.9785
5	2014				1.0186	323.2313	33.8931
6	2014				1.019	324.1330	33.3541
7	2014				1.0204	320.4575	34.028
8	2014				1.0179	321.5683	32.9005
9	2014				1.0177	320.6094	35.7701
10	2014				1.0166	331.2391	32.7436
11	2014				1.0184	318.0936	30.9661
12	2014				1.021	334.9389	36.2627
1	2015				1.0231	333.1864	33.1005
2	2015				1.0201	330.9010	33.8634
3	2015				1.0207	330.6022	34.1063
4	2015				1.019	330.6563	33.9762
5	2015				1.0195	322.1934	34.1383
6	2015				1.0198	325.0307	33.6173
7	2015				1.0191	322.2478	31.9194
